original_name,count,example_paths,canonical_name,confidence,reason,ambiguity
POWER,8422,"[""ACs/Admiral/Admiral_AC.ir"",""ACs/Airmet/Airmet_ac.ir"",""ACs/Airwell/Airwell.ir"",""ACs/Amcor/Amcor_AC.ir"",""ACs/Argo/Argo_ac.ir""]",power,0.99,alias versionado corresponde a power,False
Unknown,8045,"[""Miscellaneous/AOC/JXD_021.ir"",""Speakers/Logitech/Logi_WD216XM.ir"",""Toys/20Q_Challenge/20Q_Challenge_PoV_game_display.ir"",""_Converted_/CSV/A/Aopen/Media_PC/4_-1.ir"",""_Converted_/CSV/A/Apple/Apple_TV/238_135.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
1,5029,"[""Air_Purifiers/IQAir/IQAir_GC_Series.ir"",""Audio_and_Video_Receivers/Adcom/Adcom_GTP500II.ir"",""Audio_and_Video_Receivers/Aiwa/AIWA_XR-EM300.ir"",""Audio_and_Video_Receivers/Aiwa/Aiwa_RC-T506.ir"",""Audio_and_Video_Receivers/Auna/Auna_AV2_CD508.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
2,5014,"[""Air_Purifiers/IQAir/IQAir_GC_Series.ir"",""Audio_and_Video_Receivers/Adcom/Adcom_GTP500II.ir"",""Audio_and_Video_Receivers/Aiwa/AIWA_XR-EM300.ir"",""Audio_and_Video_Receivers/Aiwa/Aiwa_RC-T506.ir"",""Audio_and_Video_Receivers/Auna/Auna_AV2_CD508.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
3,4994,"[""Air_Purifiers/IQAir/IQAir_GC_Series.ir"",""Audio_and_Video_Receivers/Adcom/Adcom_GTP500II.ir"",""Audio_and_Video_Receivers/Aiwa/AIWA_XR-EM300.ir"",""Audio_and_Video_Receivers/Aiwa/Aiwa_RC-T506.ir"",""Audio_and_Video_Receivers/Auna/Auna_AV2_CD508.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
4,4987,"[""Air_Purifiers/IQAir/IQAir_GC_Series.ir"",""Audio_and_Video_Receivers/Adcom/Adcom_GTP500II.ir"",""Audio_and_Video_Receivers/Aiwa/AIWA_XR-EM300.ir"",""Audio_and_Video_Receivers/Aiwa/Aiwa_RC-T506.ir"",""Audio_and_Video_Receivers/Auna/Auna_AV2_CD508.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
5,4975,"[""Air_Purifiers/IQAir/IQAir_GC_Series.ir"",""Audio_and_Video_Receivers/Adcom/Adcom_GTP500II.ir"",""Audio_and_Video_Receivers/Aiwa/AIWA_XR-EM300.ir"",""Audio_and_Video_Receivers/Aiwa/Aiwa_RC-T506.ir"",""Audio_and_Video_Receivers/Auna/Auna_AV2_CD508.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
6,4932,"[""Air_Purifiers/IQAir/IQAir_GC_Series.ir"",""Audio_and_Video_Receivers/Adcom/Adcom_GTP500II.ir"",""Audio_and_Video_Receivers/Aiwa/AIWA_XR-EM300.ir"",""Audio_and_Video_Receivers/Aiwa/Aiwa_RC-T506.ir"",""Audio_and_Video_Receivers/Auna/Auna_AV2_CD508.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
7,4899,"[""ACs/York/York_AC.ir"",""Audio_and_Video_Receivers/Adcom/Adcom_GTP500II.ir"",""Audio_and_Video_Receivers/Aiwa/AIWA_XR-EM300.ir"",""Audio_and_Video_Receivers/Aiwa/Aiwa_RC-T506.ir"",""Audio_and_Video_Receivers/Auna/Auna_AV2_CD508.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
8,4883,"[""ACs/York/York_AC.ir"",""Audio_and_Video_Receivers/Adcom/Adcom_GTP500II.ir"",""Audio_and_Video_Receivers/Aiwa/AIWA_XR-EM300.ir"",""Audio_and_Video_Receivers/Aiwa/Aiwa_RC-T506.ir"",""Audio_and_Video_Receivers/Auna/Auna_AV2_CD508.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
9,4862,"[""Audio_and_Video_Receivers/Aiwa/AIWA_XR-EM300.ir"",""Audio_and_Video_Receivers/Aiwa/Aiwa_RC-T506.ir"",""Audio_and_Video_Receivers/Auna/Auna_AV2_CD508.ir"",""Audio_and_Video_Receivers/Douk_Audio/Douk_ST-01_Pro.ir"",""Audio_and_Video_Receivers/Onkyo/Onkyo_RC627S.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
0,4696,"[""Audio_and_Video_Receivers/Aiwa/Aiwa_RC-T506.ir"",""Audio_and_Video_Receivers/Auna/Auna_AV2_CD508.ir"",""Audio_and_Video_Receivers/Douk_Audio/Douk_ST-01_Pro.ir"",""Audio_and_Video_Receivers/Panasonic/Panasonic_N2QAYB000210.ir"",""Audio_and_Video_Receivers/Panasonic/Panasonic_N2QAYB001009.ir""]",,0.0,nenhum alias seguro corresponde ao nome,False
VOL+,3574,"[""Audio_and_Video_Receivers/Denon/Denon_RC1253.ir"",""Blu-Ray/LG/LG_AKB73775801.ir"",""Blu-Ray/Oppo/OPPO_BDP93.ir"",""CD_Players/Denon/Denon_RC_1199.ir"",""CD_Players/Panasonic/Panasonic_SC-HC58.ir""]",volume_up,0.99,alias versionado corresponde a volume_up,False
VOL-,3515,"[""Audio_and_Video_Receivers/Denon/Denon_RC1253.ir"",""Blu-Ray/LG/LG_AKB73775801.ir"",""Blu-Ray/Oppo/OPPO_BDP93.ir"",""CD_Players/Denon/Denon_RC_1199.ir"",""CD_Players/Panasonic/Panasonic_SC-HC58.ir""]",volume_down,0.99,alias versionado corresponde a volume_down,False
