record_id,source_path,original_text,candidate,confidence,extraction_source,ambiguity,alternatives,requires_review
894c9d0ec36bb449,ACs/Admiral/Admiral_AC.ir,AC,,0.0,,False,[],True
b6303d02283c88f1,ACs/Airfel/AIRFEL_AFSW-12HAR1RCIO.ir,AFSW-12HAR1RCIO,AFSW-12HAR1RCIO,0.45,inventory.model,True,"[""AIRFEL_AFSW-12HAR1RCIO""]",True
2ad0201f9d57015a,ACs/Airmax/Airmax.ir,Airmax,,0.0,,False,[],True
47cd060cb3e9278f,ACs/Airmet/Airmet_ac.ir,ac,,0.0,,False,[],True
e67bd06197a9004b,ACs/Airwell/Airwell.ir,Airwell,,0.0,,False,[],True
23fb3d217c7362b3,ACs/Airwell/Airwell_AWSI-PNXA012-N11.ir,AWSI-PNXA012-N11,AWSI-PNXA012-N11,0.45,inventory.model,True,"[""Airwell_AWSI-PNXA012-N11""]",True
4de8b574fa49a3e8,ACs/Aldi/Easy_Home_Portable_Air_Cooler.ir,Easy_Home_Portable_Air_Cooler,,0.0,,False,[],True
3921b3bbf36d48d9,ACs/Amcor/Amcor_AC.ir,AC,,0.0,,False,[],True
0d323d3d1f2f3463,ACs/Arctic_King/Arctic_King_RG15B1.ir,RG15B1,RG15B1,0.45,inventory.model,True,"[""Arctic_King_RG15B1""]",True
610507664d812d03,ACs/Argo/Argo_ac.ir,ac,,0.0,,False,[],True
44d26a0e851701c8,ACs/Argo/Argo_zelos.ir,zelos,,0.0,,False,[],True
2bf939e19076b4e0,ACs/Ariston/Ariston_AC_A-MW09-IGX.ir,AC_A-MW09-IGX,AC_A-MW09-IGX,0.45,inventory.model,True,"[""Ariston_AC_A-MW09-IGX""]",True
b795c39ac4e8414b,ACs/Ballu/Ballu_R05-BGE.ir,R05-BGE,R05-BGE,0.45,inventory.model,True,"[""Ballu_R05-BGE""]",True
d223333be311f5aa,ACs/Beko/Beko.ir,Beko,,0.0,,False,[],True
c977b6d7daff309f,ACs/Black_and_Decker/Portable.ir,Portable,,0.0,,False,[],True
3c7363b6e6ee1db5,ACs/Bonaire/Bonaire_DurangoAC.ir,DurangoAC,,0.0,,False,[],True
437e0d605db14a27,ACs/Boston_Bay/Boston_Bay_MSAB_09CR.ir,MSAB_09CR,MSAB_09CR,0.45,inventory.model,True,"[""Boston_Bay_MSAB_09CR""]",True
599075d847399a69,ACs/Botti/Botti_BL-168DLR.ir,BL-168DLR,BL-168DLR,0.45,inventory.model,True,"[""Botti_BL-168DLR""]",True
45cea251d427541c,ACs/Boulanger/Boulanger_AC.ir,AC,,0.0,,False,[],True
d164b5f024dab55a,ACs/COTech/COTech_MPPH-08CRN7-QB6_AC.ir,MPPH-08CRN7-QB6_AC,MPPH-08CRN7-QB6_AC,0.45,inventory.model,True,"[""COTech_MPPH-08CRN7-QB6_AC""]",True
dc1f42cc49753999,ACs/Carrier/Carrier_orlen_ac.ir,orlen_ac,,0.0,,False,[],True
0081278a9091403e,ACs/Chigo/Chigo_CS-21H3A-B155AF.ir,CS-21H3A-B155AF,CS-21H3A-B155AF,0.45,inventory.model,True,"[""Chigo_CS-21H3A-B155AF""]",True
68a24ad50dd703a1,ACs/Chigo/Chigo_KRF-51G_79F.ir,KRF-51G_79F,KRF-51G_79F,0.45,inventory.model,True,"[""Chigo_KRF-51G_79F""]",True
0933209eb4724b9e,ACs/Ciatronic/Ciatronic_AC.ir,AC,,0.0,,False,[],True
1513275923682554,ACs/Comfort_Aire/Comfort_Aire_RG57A6.ir,RG57A6,RG57A6,0.45,inventory.model,True,"[""Comfort_Aire_RG57A6""]",True
ac4dbcb4df4a6a78,ACs/Corlitec/Cortlitec_portable_ac.ir,Cortlitec_portable_ac,,0.0,,False,[],True
cfb2ed6ced11cf55,ACs/Daikin/Daikin_AC.ir,AC,,0.0,,False,[],True
14f9ef119ef1cf82,ACs/Daikin/Daikin_AC_industrial_TB.ir,AC_industrial_TB,,0.0,,False,[],True
f8b3ef88b7c43705,ACs/Daikin/Daikin_AC_unknownModel.ir,AC_unknownModel,,0.0,,False,[],True
fc982c04f61c9ef7,ACs/Daikin/Daikin_ARC480A41.ir,ARC480A41,ARC480A41,0.45,inventory.model,True,"[""Daikin_ARC480A41""]",True
3905b283481fcd94,ACs/Daikin/Daikin_ARC480A53.ir,ARC480A53,ARC480A53,0.45,inventory.model,True,"[""Daikin_ARC480A53""]",True
99dea71736369356,ACs/Daikin/Daikin_FTE35KV1.ir,FTE35KV1,FTE35KV1,0.45,inventory.model,True,"[""Daikin_FTE35KV1""]",True
f13f075e1d027da3,ACs/Daikin/Daikin_FTX50GV1B.ir,FTX50GV1B,FTX50GV1B,0.45,inventory.model,True,"[""Daikin_FTX50GV1B""]",True
68cdf53a5f4fc0b2,ACs/Daikin/Daikin_FTXM95PVMA.ir,FTXM95PVMA,FTXM95PVMA,0.45,inventory.model,True,"[""Daikin_FTXM95PVMA""]",True
f71b07f95826eb78,ACs/Daikin/Daikin_FTXS25KVMA.ir,FTXS25KVMA,FTXS25KVMA,0.45,inventory.model,True,"[""Daikin_FTXS25KVMA""]",True
597a0ced59fb5f10,ACs/Danby/Danby DAC060EB7WDB.ir,Danby DAC060EB7WDB,DAC060EB7WDB,0.45,inventory.model,False,[],True
e99b03b06c2fc5f4,ACs/DeLonghi/Delonghi_portable_Pinguino-Air-to-Air-PAC-N81_ac.ir,Delonghi_portable_Pinguino-Air-to-Air-PAC-N81_ac,Delonghi_portable_Pinguino-Air-to-Air-PAC-N81_ac,0.45,inventory.model,False,[],True
67ec3071a02ea2de,ACs/DeLonghi/Pinguino_EL290HLWKC.ir,Pinguino_EL290HLWKC,Pinguino_EL290HLWKC,0.45,inventory.model,False,[],True
3094c6dcc860939e,ACs/DeLonghi/Pinguino_PAC_EL275HGRKC.ir,Pinguino_PAC_EL275HGRKC,Pinguino_PAC_EL275HGRKC,0.45,inventory.model,False,[],True
9b86f50cd8b2b865,ACs/DeLonghi/Pinguino_PAC_EL92_SILENT.ir,Pinguino_PAC_EL92_SILENT,Pinguino_PAC_EL92_SILENT,0.45,inventory.model,False,[],True
96af98b7ec3c5129,ACs/Eberg/Eberg_RIO_R29E1.ir,RIO_R29E1,RIO_R29E1,0.45,inventory.model,True,"[""Eberg_RIO_R29E1""]",True
f50b29601760f97e,ACs/Ecofort/Ecofort_CoolAir_7+_EQCA7+2900824.ir,CoolAir_7+_EQCA7+2900824,CoolAir_7+_EQCA7+2900824,0.45,inventory.model,True,"[""Ecofort_CoolAir_7+_EQCA7+2900824""]",True
faae0287f50d135b,ACs/Electra/electra_smart.ir,electra_smart,,0.0,,False,[],True
6d55d499d3f6b1d2,ACs/Electrolux/Electrol_ESV09CRO_B2I.ir,Electrol_ESV09CRO_B2I,Electrol_ESV09CRO_B2I,0.45,inventory.model,False,[],True
865ee5e06c281918,ACs/Emerson/Emerson_EARC8RE1_ac.ir,EARC8RE1_ac,EARC8RE1_ac,0.45,inventory.model,True,"[""Emerson_EARC8RE1_ac""]",True
347cefac6d9574ca,ACs/Emerson/Emerson_Quiet_Kool_AC.ir,Quiet_Kool_AC,,0.0,,False,[],True
6b8be9e2092a3cbe,ACs/Eurom/Eurom_PAC_9.2.ir,PAC_9.2,PAC_9.2,0.45,inventory.model,True,"[""Eurom_PAC_9.2""]",True
e05d79cb5f1525d4,ACs/Eurom/Eurom_Tristar_AC.ir,Tristar_AC,,0.0,,False,[],True
bf55fde8b9672f3c,ACs/Ferroli/Ferroli.ir,Ferroli,,0.0,,False,[],True
d938e1b9f02eee46,ACs/Firstline/Firstline_AAS2500.ir,AAS2500,AAS2500,0.45,inventory.model,True,"[""Firstline_AAS2500""]",True
75ce2dc5ad567ad5,ACs/Frico/Frico_PA2510E08.ir,PA2510E08,PA2510E08,0.45,inventory.model,True,"[""Frico_PA2510E08""]",True
232a174b168d1245,ACs/Friedrich/Friedrich.ir,Friedrich,,0.0,,False,[],True
2343595d78a01dbf,ACs/Friedrich/Friedrich_4235h.ir,4235h,4235h,0.45,inventory.model,True,"[""Friedrich_4235h""]",True
fee9cf4ac4faffac,ACs/Friedrich/Friedrich_AKB73756214.ir,AKB73756214,AKB73756214,0.45,inventory.model,True,"[""Friedrich_AKB73756214""]",True
641e79320e7f1d10,ACs/Frigidaire/Frigidaire_AC.ir,AC,,0.0,,False,[],True
86d5163cc3ecb542,ACs/Frigidaire/Frigidaire_RG15D_AC.ir,RG15D_AC,RG15D_AC,0.45,inventory.model,True,"[""Frigidaire_RG15D_AC""]",True
32c7a11b139db04d,ACs/Fujidenzo/Fujidenzo_FEA5001_AC.ir,FEA5001_AC,FEA5001_AC,0.45,inventory.model,True,"[""Fujidenzo_FEA5001_AC""]",True
807e4c6275e448c7,ACs/Fujitsu/Fujitsu_AC.ir,AC,,0.0,,False,[],True
315dbe9f924ca465,ACs/Fujitsu/Fujitsu_AC_ASU18RLF.ir,AC_ASU18RLF,AC_ASU18RLF,0.45,inventory.model,True,"[""Fujitsu_AC_ASU18RLF""]",True
42ab88de14ea5b75,ACs/GREE/GREE_YAPOF.ir,YAPOF,,0.0,,False,[],True
f41c3836e46ec1f2,ACs/GREE/Gree_KFR-70G-A1.ir,Gree_KFR-70G-A1,Gree_KFR-70G-A1,0.45,inventory.model,False,[],True
ad9849fc12ce5f68,ACs/GREE/Gree_airco.ir,Gree_airco,,0.0,,False,[],True
1aa042307608eb1d,ACs/GREE/Gree_airco_lightoff.ir,Gree_airco_lightoff,,0.0,,False,[],True
0453320233bf34f5,ACs/General_Electric/GE_AC.ir,GE_AC,,0.0,,False,[],True
8781886ce1f5a76d,ACs/General_Electric/GE_Window_AC.ir,GE_Window_AC,,0.0,,False,[],True
d96fc2bdea6d9f40,ACs/GoodHome/GoodHome_FDP15.ir,FDP15,FDP15,0.45,inventory.model,True,"[""GoodHome_FDP15""]",True
eafee82b6119d064,ACs/Haier/Haier_AC_AS18GD3HRA.ir,AC_AS18GD3HRA,AC_AS18GD3HRA,0.45,inventory.model,True,"[""Haier_AC_AS18GD3HRA""]",True
e0029eb1c4f95a7a,ACs/Haier/Haier_AC_HPD10XCM-LW.ir,AC_HPD10XCM-LW,AC_HPD10XCM-LW,0.45,inventory.model,True,"[""Haier_AC_HPD10XCM-LW""]",True
d8e99e9bd4d02626,ACs/Haier/Haier_AC_HWE08XCR-L.ir,AC_HWE08XCR-L,AC_HWE08XCR-L,0.45,inventory.model,True,"[""Haier_AC_HWE08XCR-L""]",True
2c2f77a1ccf77a9f,ACs/Hisense/Hisense_DG11J1-99_celsius.ir,DG11J1-99_celsius,DG11J1-99_celsius,0.45,inventory.model,True,"[""Hisense_DG11J1-99_celsius""]",True
20bf753041415e7c,ACs/Hisense/Hisense_DG11J1-99_fahrenheit.ir,DG11J1-99_fahrenheit,DG11J1-99_fahrenheit,0.45,inventory.model,True,"[""Hisense_DG11J1-99_fahrenheit""]",True
a8033f78cc9fdf1a,ACs/Hisense/Hisense_room_AC.ir,room_AC,,0.0,,False,[],True
