original,canonical_name,confidence,rule,reasons,ambiguity,requires_review
!,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
#,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
# / angle,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
# Sub/CC,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
#-SEARCH,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
#/DWR,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
#/ENTER,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
#/K,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
#0,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
#1,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
#2,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
#3,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
#4,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
#5,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
#6,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
#7,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
#8,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
#9,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
#_(P-SCAN),,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
#_(POUND),,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
#_-_SEARCH,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
#_B,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
#_ENTER,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
#_PIP,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
#_R,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
#_SEARCH,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
#_Treble,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
#_lowercase,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
$,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
%,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
&,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
&()-,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
',,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
'END',,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
'PAUSE_T0,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
'PAUSE_T1,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
'_?!,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(),,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
()-1,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
()-2,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(**),,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(-),,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(-/--),,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(0),,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(0)OpenClose,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(1)Memory,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(1)_PROG_CLOCK,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(2),,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(2)VirtualSurr,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(2ch source),,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(3),,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(3)Title,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(3)_SELECT_C.MEMORY,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(4),,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(4)Angle,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(4)_TIMER,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(5),,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(5)Audio,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(6),,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(6)Subtitle,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(7),,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(7)TextDisp,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(8),,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(8)AllInfo,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(9),,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(9)TitleSearch,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(AUX),,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(D),,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(E),,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(Multi ch source),,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(Multi ch source) +DOLBY EX,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(Multi ch source) DTS-ES 8ch discrete,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(Multi ch source) DTS-ES Neo:6,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(Multi ch source) DTS-ES discrete,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(Multi ch source) DTS-ES matrix,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(Multi ch source)+ PRO LOGIC2x MOVIE,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(Multi ch source)+ PRO LOGIC2x MUSIC,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(Multichsource)+DOLBYEX,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(Multichsource)+PROLOGIC2xMOVIE,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(Multichsource)+PROLOGIC2xMUSIC,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(Multichsource)+PROLOGIC2zHEIGHT,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(Multichsource)+WIDESURROUNDMOVIE,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(Multichsource)+WIDESURROUNDMUSIC,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(Multichsource)DTS-ES8chdiscrete,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(Multichsource)DTS-ESNeo:6,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(Multichsource)DTS-ESNeo:X,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(Multichsource)DTS-ESdiscrete,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(Multichsource)DTS-ESmatrix,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(Multichsource)DependingonSource,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(RESERVED),,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(SCAN)_X2,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(SHIFT)AUTO_PRESET,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(SHIFT)CLOCK,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(SHIFT)DISPLAY,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(SHIFT)EDIT,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(SHIFT)ENTER,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(SHIFT)INTRO,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(SHIFT)MODE,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(SHIFT)PROGRAM,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(SHIFT)RANDOM,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(SHIFT)REPEAT,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(SHIFT)SYNCHRO_REC,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
(SHIFT)TIMER,,0.0,unresolved,"[""nenhum alias seguro corresponde ao nome""]",False,True
